Experiment,Architecture,Learning Rate,Batch Size,Epochs,Test Accuracy,Test Loss,Val Accuracy,Val Loss
Exp1,784->128->64->10,0.01,64,20,0.9612,0.12678148764081035,0.9702,0.10820291168114586
Exp2,784->256->128->10,0.01,128,20,0.9524,0.16593732121307214,0.964,0.1394213625807692
